epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,6510.07,1.45731,1.78395,1.61861,0.46931,0.33723,0.33751,0.14743,2.01851,2.0939,2.33322,0.0091585,0.0091585,0.0091585
87,6601.22,1.45419,1.80232,1.62291,0.43833,0.37513,0.36294,0.16121,2.05632,2.01005,2.33709,0.0091486,0.0091486,0.0091486
88,6695.39,1.44484,1.77208,1.61104,0.43299,0.36404,0.3592,0.16411,2.00963,2.05407,2.31515,0.0091387,0.0091387,0.0091387
89,6755.96,1.44723,1.75304,1.60505,0.53188,0.37445,0.36795,0.15653,2.05342,1.99387,2.35453,0.0091288,0.0091288,0.0091288
90,6817.53,1.45339,1.76961,1.62208,0.45463,0.39643,0.37413,0.17271,2.05102,1.97334,2.37688,0.0091189,0.0091189,0.0091189
91,6887.3,1.43757,1.73487,1.60208,0.50056,0.41714,0.37812,0.16867,2.04733,1.95429,2.33348,0.009109,0.009109,0.009109
92,6970.71,1.4311,1.75378,1.59745,0.55641,0.3764,0.38624,0.17002,2.02885,2.02685,2.33774,0.0090991,0.0090991,0.0090991
93,7022.57,1.44152,1.7553,1.6024,0.46488,0.3689,0.36329,0.15805,2.06522,2.04668,2.40547,0.0090892,0.0090892,0.0090892
94,7072.64,1.42638,1.73484,1.58518,0.38847,0.38039,0.36345,0.15976,2.06347,2.10454,2.39628,0.0090793,0.0090793,0.0090793
95,7144.58,1.43641,1.72794,1.5907,0.56193,0.37956,0.36822,0.16521,2.05238,2.02888,2.35273,0.0090694,0.0090694,0.0090694
96,7222.5,1.42018,1.72131,1.58556,0.49679,0.35425,0.36262,0.16434,2.06888,1.97001,2.37838,0.0090595,0.0090595,0.0090595
97,7279.74,1.39768,1.68056,1.57692,0.51276,0.3711,0.36951,0.16894,2.06335,1.98285,2.38709,0.0090496,0.0090496,0.0090496
98,7328.35,1.41347,1.70779,1.58005,0.35065,0.38704,0.33138,0.15391,2.03272,2.07726,2.36082,0.0090397,0.0090397,0.0090397
99,7414.02,1.3997,1.69241,1.57302,0.57482,0.41318,0.37837,0.17215,2.04215,2.01532,2.37301,0.0090298,0.0090298,0.0090298
100,7486.21,1.42188,1.68145,1.5669,0.47717,0.3728,0.37224,0.17131,2.04944,1.98614,2.34023,0.0090199,0.0090199,0.0090199
101,7559.51,1.39487,1.69445,1.57659,0.495,0.35342,0.36501,0.16397,2.07884,1.97898,2.40106,0.00901,0.00901,0.00901
102,7615.53,1.39944,1.68804,1.57609,0.54139,0.385,0.35956,0.16097,2.0786,1.97495,2.37898,0.0090001,0.0090001,0.0090001
103,7702.84,1.40786,1.68403,1.57974,0.51569,0.36365,0.38016,0.17971,2.01948,1.95524,2.33727,0.0089902,0.0089902,0.0089902
104,7786.74,1.40992,1.67864,1.5656,0.54758,0.41673,0.37135,0.17448,2.03789,1.89733,2.36912,0.0089803,0.0089803,0.0089803
105,7853.13,1.38328,1.65909,1.55835,0.58619,0.32986,0.36224,0.16406,2.06904,1.98419,2.42281,0.0089704,0.0089704,0.0089704
106,7900.85,1.38877,1.65032,1.56758,0.57519,0.40553,0.39767,0.18182,2.04247,1.98419,2.35708,0.0089605,0.0089605,0.0089605
107,7979.26,1.39353,1.64509,1.55736,0.37314,0.41923,0.37568,0.16946,2.06634,1.88919,2.3987,0.0089506,0.0089506,0.0089506
108,8047.54,1.38255,1.63512,1.56334,0.52272,0.37179,0.36617,0.16747,2.07497,1.98145,2.37092,0.0089407,0.0089407,0.0089407
109,8125.43,1.38846,1.63986,1.54644,0.55417,0.36883,0.35142,0.16161,2.0756,1.98326,2.3797,0.0089308,0.0089308,0.0089308
110,8181.84,1.37875,1.56732,1.53395,0.46196,0.37939,0.34576,0.15614,2.09444,2.09399,2.40379,0.0089209,0.0089209,0.0089209
111,8251.9,1.3815,1.61194,1.54324,0.57126,0.33002,0.35381,0.16179,2.08544,2.01286,2.41244,0.008911,0.008911,0.008911
112,8313.48,1.38414,1.60576,1.54955,0.46453,0.38391,0.36887,0.16763,2.1111,1.99917,2.40801,0.0089011,0.0089011,0.0089011
113,8396.74,1.36777,1.60412,1.53995,0.42217,0.42533,0.36933,0.16755,2.08441,1.92356,2.40598,0.0088912,0.0088912,0.0088912
114,8454.85,1.37409,1.58025,1.53859,0.53964,0.40355,0.37656,0.16747,2.08273,1.93149,2.41077,0.0088813,0.0088813,0.0088813
115,8512.4,1.35556,1.59391,1.53994,0.5076,0.38885,0.38305,0.16103,2.10739,1.96563,2.42356,0.0088714,0.0088714,0.0088714
116,8590.17,1.36729,1.58503,1.53907,0.59408,0.33565,0.36109,0.16429,2.08168,2.00652,2.42614,0.0088615,0.0088615,0.0088615
117,8677.6,1.32762,1.5584,1.50473,0.49631,0.37109,0.37092,0.16837,2.11031,1.99497,2.46475,0.0088516,0.0088516,0.0088516
118,8732.8,1.35361,1.55109,1.52238,0.52392,0.38292,0.3795,0.17165,2.09019,1.97577,2.40421,0.0088417,0.0088417,0.0088417
119,8789.39,1.33905,1.54126,1.5112,0.53632,0.40165,0.38772,0.16857,2.09761,1.94065,2.45661,0.0088318,0.0088318,0.0088318
120,8862.68,1.33487,1.52078,1.51549,0.39388,0.42388,0.37756,0.17625,2.08456,1.88458,2.40269,0.0088219,0.0088219,0.0088219
121,8951.29,1.34659,1.56322,1.52243,0.41535,0.39583,0.36988,0.1728,2.09156,1.99602,2.43441,0.008812,0.008812,0.008812
122,9007.53,1.33645,1.52616,1.50846,0.55781,0.38554,0.3844,0.17601,2.05795,1.94677,2.38687,0.0088021,0.0088021,0.0088021
123,9066.55,1.31783,1.50399,1.5073,0.50514,0.39881,0.36358,0.1646,2.10589,1.9801,2.40673,0.0087922,0.0087922,0.0087922
124,9142.36,1.33688,1.52677,1.50838,0.48772,0.32952,0.34381,0.16243,2.06043,1.98952,2.37674,0.0087823,0.0087823,0.0087823
125,9232.6,1.33807,1.54269,1.5107,0.47799,0.39404,0.39383,0.18247,2.08681,1.91653,2.37284,0.0087724,0.0087724,0.0087724
126,9293.97,1.32918,1.50208,1.49835,0.61177,0.36187,0.3688,0.16832,2.09009,1.92198,2.44673,0.0087625,0.0087625,0.0087625
127,9349.45,1.33083,1.49705,1.49485,0.50362,0.41988,0.39457,0.18046,2.10334,1.91565,2.43374,0.0087526,0.0087526,0.0087526
128,9423.99,1.31208,1.48346,1.49003,0.3753,0.42053,0.3622,0.1652,2.08309,1.99098,2.44679,0.0087427,0.0087427,0.0087427
129,9501.7,1.31357,1.503,1.49753,0.44324,0.37566,0.36871,0.16559,2.11021,1.98247,2.44808,0.0087328,0.0087328,0.0087328
130,9573.64,1.31801,1.51911,1.49204,0.47952,0.37592,0.3584,0.15896,2.12053,1.98869,2.46393,0.0087229,0.0087229,0.0087229
131,9640.19,1.32507,1.4789,1.49439,0.41867,0.43124,0.38931,0.17779,2.09023,1.88711,2.42989,0.008713,0.008713,0.008713
132,9723.15,1.3207,1.47947,1.48947,0.59193,0.36088,0.37777,0.16615,2.16078,2.02776,2.48307,0.0087031,0.0087031,0.0087031
133,9798.24,1.30156,1.48072,1.48218,0.58844,0.39809,0.36594,0.16431,2.10834,1.95824,2.43919,0.0086932,0.0086932,0.0086932
134,9872.77,1.30832,1.4409,1.47009,0.56901,0.37356,0.38092,0.17227,2.12253,1.94275,2.48643,0.0086833,0.0086833,0.0086833
135,9929.21,1.31031,1.46438,1.48712,0.40487,0.43472,0.37605,0.17283,2.0847,1.96343,2.43119,0.0086734,0.0086734,0.0086734
136,10008.9,1.29727,1.45828,1.47842,0.56631,0.37483,0.3962,0.1824,2.12299,1.90888,2.45818,0.0086635,0.0086635,0.0086635
137,10082.1,1.28444,1.41769,1.46637,0.62012,0.35615,0.38242,0.17206,2.11845,1.97043,2.47094,0.0086536,0.0086536,0.0086536
138,10148.9,1.28783,1.46188,1.46882,0.48821,0.39501,0.38909,0.17621,2.1249,1.98189,2.51504,0.0086437,0.0086437,0.0086437
139,10202.2,1.29315,1.46236,1.47366,0.54165,0.37351,0.36141,0.16234,2.12449,1.98533,2.47053,0.0086338,0.0086338,0.0086338
140,10289.1,1.27597,1.43314,1.46057,0.49848,0.37718,0.37853,0.17409,2.09452,1.98064,2.4583,0.0086239,0.0086239,0.0086239
141,10373.9,1.28863,1.42488,1.47684,0.59644,0.35129,0.37603,0.17153,2.12267,1.8939,2.4824,0.008614,0.008614,0.008614
142,10446.2,1.28014,1.43061,1.46001,0.52118,0.40017,0.37544,0.16951,2.11932,1.8984,2.51003,0.0086041,0.0086041,0.0086041
143,10496.3,1.27729,1.44255,1.45791,0.55687,0.42274,0.40683,0.1874,2.10999,1.83707,2.50892,0.0085942,0.0085942,0.0085942
144,10576,1.28787,1.42853,1.46444,0.42968,0.39483,0.38671,0.17877,2.09596,1.92684,2.45689,0.0085843,0.0085843,0.0085843
145,10646.1,1.28534,1.41305,1.45846,0.54901,0.41041,0.37619,0.16601,2.13448,1.96435,2.49074,0.0085744,0.0085744,0.0085744
146,10713.7,1.26803,1.4008,1.453,0.43685,0.41158,0.36327,0.16611,2.13376,1.98883,2.46882,0.0085645,0.0085645,0.0085645
147,10769.4,1.27836,1.40579,1.44702,0.5272,0.37176,0.36565,0.15747,2.14707,2.01484,2.48696,0.0085546,0.0085546,0.0085546
148,10852.2,1.27097,1.39364,1.44522,0.47009,0.38262,0.38687,0.17735,2.11486,1.97484,2.5097,0.0085447,0.0085447,0.0085447
149,10918.1,1.25315,1.36348,1.43468,0.47627,0.37762,0.36376,0.1675,2.10869,1.95759,2.49868,0.0085348,0.0085348,0.0085348
150,10990,1.26242,1.36532,1.4364,0.49141,0.37752,0.36572,0.16894,2.11308,2.06185,2.51251,0.0085249,0.0085249,0.0085249
151,11042.3,1.24712,1.37623,1.44047,0.48397,0.40203,0.39249,0.17942,2.12212,1.97445,2.51259,0.008515,0.008515,0.008515
152,11130.5,1.2592,1.37628,1.43374,0.59341,0.37635,0.37736,0.17207,2.10698,1.92136,2.4753,0.0085051,0.0085051,0.0085051
153,11213.1,1.24251,1.35395,1.42626,0.49282,0.41241,0.37805,0.17053,2.12502,1.98366,2.55635,0.0084952,0.0084952,0.0084952
154,11286.2,1.26127,1.36276,1.44221,0.55551,0.36398,0.37366,0.16886,2.14598,1.95855,2.4925,0.0084853,0.0084853,0.0084853
155,11339.4,1.25417,1.38189,1.43864,0.56726,0.35448,0.37212,0.17138,2.1333,1.98684,2.48459,0.0084754,0.0084754,0.0084754
156,11421.3,1.2373,1.37298,1.42461,0.55179,0.37138,0.38851,0.17437,2.12087,1.90869,2.49653,0.0084655,0.0084655,0.0084655
157,11494.7,1.23593,1.33777,1.4169,0.53881,0.40283,0.39705,0.17735,2.12271,1.93747,2.50617,0.0084556,0.0084556,0.0084556
158,11566.3,1.228,1.34893,1.42009,0.46786,0.34876,0.35574,0.17169,2.11147,1.96081,2.50875,0.0084457,0.0084457,0.0084457
159,11624.4,1.26111,1.3822,1.43438,0.45328,0.38901,0.36096,0.16625,2.1366,1.93121,2.50986,0.0084358,0.0084358,0.0084358
160,11705.8,1.22603,1.34778,1.41855,0.56206,0.37247,0.38139,0.1706,2.1577,1.97981,2.54621,0.0084259,0.0084259,0.0084259
